Dzongkhag_Name,Dzongkhag_Latitude,Dzongkhag_Longitude,Hospital_Name,Hospital_latitude,Hospital_longitude,Level_of_ school,Female_student,Male_student,Total_students,Age,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,XII,12,7,19,17,,,,,
Samtse,27.0292,89.0562,Samtse,26.90139,89.08709,VI,494,502,996,11,,,,,
Samtse,27.0292,89.0562,Samtse,26.90139,89.08709,VII,626,651,1277,12,,,,,
Samtse,27.0292,89.0562,Samtse,26.90139,89.08709,VIII,754,750,1504,13,,,,,
Samtse,27.0292,89.0562,Samtse,26.90139,89.08709,IX,427,409,836,14,,,,,
Samtse,27.0292,89.0562,Samtse,26.90139,89.08709,X,569,501,1070,15,,,,,
Samtse,27.0292,89.0562,Gomtu,26.8213,89.1875,VI,494,502,996,11,,,,,
Samtse,27.0292,89.0562,Gomtu,26.8213,89.1875,VII,626,651,1277,12,,,,,
Samtse,27.0292,89.0562,Gomtu,26.8213,89.1875,VIII,754,750,1504,13,,,,,
Samtse,27.0292,89.0562,Gomtu,26.8213,89.1875,IX,427,409,836,14,,,,,
Samtse,27.0292,89.0562,Gomtu,26.8213,89.1875,XI,265,257,522,16,,,,,
Samtse,27.0292,89.0562,Gomtu,26.8213,89.1875,XII,252,228,480,17,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,VI,270,301,571,11,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,VII,307,325,632,12,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,VIII,378,315,693,13,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,IX,192,216,408,14,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,X,266,236,502,15,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,XI,205,169,374,16,,,,,
Sarpang,26.9373,90.488,Sarpang,26.86564,90.26454,XII,259,250,509,17,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,VI,180,153,333,11,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,VII,217,184,401,12,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,VIII,267,198,465,13,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,IX,130,97,227,14,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,X,184,135,319,15,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,XI,108,84,192,16,,,,,
Tashi Yangtse,27.6418,90.6773,Trashiyangtse,27.63229,91.50561,XII,162,123,285,17,,,,,
Tashigang,27.2567,91.7539,Trashigang,27.33403,91.55498,VI,388,328,716,11,,,,,
Tashigang,27.2567,91.7539,Trashigang,27.33403,91.55498,VII,453,337,790,12,,,,,
Tashigang,27.2567,91.7539,Trashigang,27.33403,91.55498,VIII,521,382,903,13,,,,,
Tashigang,27.2567,91.7539,Trashigang,27.33403,91.55498,IX,231,239,470,14,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,VI,388,328,716,11,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,VII,453,337,790,12,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,VIII,521,382,903,13,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,IX,231,239,470,14,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,X,320,266,586,15,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,XI,287,234,521,16,,,,,
Tashigang,27.2567,91.7539,Riserboo,27.1212,91.5498,XII,368,317,685,17,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,VI,146,125,271,11,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,VII,168,154,322,12,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,VIII,190,138,328,13,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,IX,100,112,212,14,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,X,153,125,278,15,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,XI,130,95,225,16,,,,,
Thimphu,27.5959,89.5875,Gidakom,27.4049,89.5694,XII,403,341,744,17,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,VI,907,907,1814,11,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,VII,1053,1004,2057,12,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,VIII,1132,1097,2229,13,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,IX,720,640,1360,14,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,X,832,776,1608,15,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,XI,673,543,1216,16,,,,,
Thimphu,27.5959,89.5875,JDWNR,27.46385,89.63825,XII,714,572,1286,17,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,VI,105,75,180,11,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,VII,126,123,249,12,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,VIII,183,106,289,13,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,IX,101,87,188,14,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,X,111,92,103,15,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,XI,79,62,141,16,,,,,
Trongsa,27.5002,90.5081,Trongsa,27.54421,90.51085,XII,169,158,327,17,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,VI,160,200,360,11,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,VII,216,231,447,12,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,VIII,272,226,498,13,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,IX,134,182,316,14,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,X,240,196,436,15,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,XI,182,193,375,16,,,,,
Tsirang,27.0015,90.123008,Damphu,27.00428,90.12458,XII,210,204,414,17,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,VI,339,294,633,11,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,VII,362,298,660,12,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,VIII,465,297,762,13,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,IX,154,149,303,14,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,X,271,200,471,15,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,XI,132,122,254,16,,,,,
Wangdue Phodrang,27.4526,90.0675,Wangdue,27.4879,89.8937,XII,162,143,305,17,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,VI,163,124,287,11,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,VII,219,163,382,12,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,VIII,239,178,417,13,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,IX,108,120,228,14,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,X,156,132,288,15,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,XI,87,92,179,16,,,,,
Zhemgang,27.077,90.8294,Yebilaptsa,27.13285,90.7010939,XII,177,157,336,17,,,,,
