Dzongkhag_Name,Hospital_Name,Hospital_latitude,Hospital_longitude,Gewog_Name,Geowog_Latitude,Geowog_Longitude
Thimphu,Gidakom,27.40,89.57,Lingzhi,27.86,89.44
Thimphu,Gidakom,27.40,89.57,Naro,27.69,89.60
Thimphu,Gidakom,27.40,89.57,Soe,27.77,89.33
Thimphu,Gidakom,27.40,89.57,Chang,27.44,89.67
Thimphu,JDWNR,27.46,89.64,Darkarla,27.41,89.70
Thimphu,JDWNR,27.46,89.64,Ge-nyen,27.58,89.86
Thimphu,JDWNR,27.46,89.64,Maedwang,27.57,89.65
Trongsa,Trongsa,27.54,90.51,Trongsa Town,27.50,90.51
Trongsa,Trongsa,27.54,90.51,Kuengarabten Town,27.50,90.51
Trongsa,Trongsa,27.54,90.51,Draagteng,27.50,90.51
Trongsa,Trongsa,27.54,90.51,Korphu,27.19,90.53
Trongsa,Trongsa,27.54,90.51,Langthil,27.33,90.58
Trongsa,Trongsa,27.54,90.51,Nubi,27.52,90.46
Trongsa,Trongsa,27.54,90.51,Tangsibji,27.46,90.45
Tsirang,Damphu,27.00,90.12,Tsirang Town,27.01,90.12
Tsirang,Damphu,27.00,90.12,Mendrelgang Town,26.95,90.13
Tsirang,Damphu,27.00,90.12,Barshong,26.94,90.09
Tsirang,Damphu,27.00,90.12,Patshaling,26.96,90.14
Tsirang,Damphu,27.00,90.12,Kilkhorthang,27.01,90.14
Tsirang,Damphu,27.00,90.12,Mendrelgang,26.95,90.13
Tsirang,Damphu,27.00,90.12,Rangthangling,26.99,90.11
Tsirang,Damphu,27.00,90.12,Tsholingkhar,27.01,90.11
Tsirang,Damphu,27.00,90.12,Doonglagang,27.02,90.18
Tsirang,Damphu,27.00,90.12,Gosarling,27.04,90.13
Tsirang,Damphu,27.00,90.12,Sergithang,26.99,90.12
Tsirang,Damphu,27.00,90.12,Pungtenchhu,27.08,90.15
Tsirang,Damphu,27.00,90.12,Semjong,27.03,90.19
Tsirang,Damphu,27.00,90.12,Tsirang Toed,27.06,90.11
Wangdue Phodrang,Wangdue,27.49,89.89,Wangdue Phodrang Town,27.49,89.90
Wangdue Phodrang,Wangdue,27.49,89.89,Rurichhu(Bajo) Town,27.49,89.90
Wangdue Phodrang,Wangdue,27.49,89.89,Nobding Town,27.55,90.15
Wangdue Phodrang,Wangdue,27.49,89.89,Athang,27.31,90.03
Wangdue Phodrang,Wangdue,27.49,89.89,Bjenag,27.50,89.95
Wangdue Phodrang,Wangdue,27.49,89.89,Darkar,27.27,90.03
Wangdue Phodrang,Wangdue,27.49,89.89,Gase Tshogongm,27.42,89.89
Wangdue Phodrang,Wangdue,27.49,89.89,Gase Tshowogm,27.42,89.89
Wangdue Phodrang,Wangdue,27.49,89.89,Nahi,27.46,89.85
Wangdue Phodrang,Wangdue,27.49,89.89,Thedtsho,27.49,89.90
Wangdue Phodrang,Wangdue,27.49,89.89,Ruebisa,27.47,89.90
Wangdue Phodrang,Wangdue,27.49,89.89,Dangchhu,27.48,89.91
Wangdue Phodrang,Wangdue,27.49,89.89,Gangteng,27.49,90.17
Wangdue Phodrang,Wangdue,27.49,89.89,Kazhi,27.54,90.00
Wangdue Phodrang,Wangdue,27.49,89.89,Nyishog,27.53,89.98
Wangdue Phodrang,Wangdue,27.49,89.89,Phangyuel,27.51,89.95
Wangdue Phodrang,Wangdue,27.49,89.89,Phobji,27.45,90.19
Wangdue Phodrang,Wangdue,27.49,89.89,Saephu,27.52,90.30
Zhemgang,Yebilaptsa,27.13,90.70,Zhemgang Town,27.14,90.69
Zhemgang,Yebilaptsa,27.13,90.70,Tingtibi Town,27.14,90.69
Zhemgang,Yebilaptsa,27.13,90.70,Panbang Town,26.85,90.96
Zhemgang,Yebilaptsa,27.13,90.70,Bardo,27.14,90.94
Zhemgang,Yebilaptsa,27.13,90.70,Nangkor,27.21,90.81
Zhemgang,Yebilaptsa,27.13,90.70,Shingkhar,27.25,90.95
Zhemgang,Yebilaptsa,27.13,90.70,Trong,27.15,90.69
Zhemgang,Yebilaptsa,27.13,90.70,Bjoka,26.97,91.05
Zhemgang,Yebilaptsa,27.13,90.70,Goshing,26.96,90.89
Zhemgang,Yebilaptsa,27.13,90.70,Ngangla,26.94,91.00
Zhemgang,Yebilaptsa,27.13,90.70,Pangkhar,26.94,90.87
